participant,bin,electrode,P1,N1,EPN,LPP
vp02,localizer,PO8,1.7338,-2.5323,2.3287,0.74293
vp02,localizer,PO4,0.93957,-1.6964,1.6173,0.14147
vp02,localizer,O2,1.676,-2.4244,1.829,-0.20108
vp02,NegMinNeut,Fp1,0.32604,0.1336,0.42821,0.17672
vp02,NegMinNeut,AF7,0.2402,0.068064,0.52122,0.04676
vp02,NegMinNeut,AF3,0.18675,-0.47356,-0.38003,-0.63694
vp02,NegMinNeut,F1,-0.11667,-0.28739,0.069546,-0.0067892
vp02,NegMinNeut,F3,0.18831,-0.12342,0.33363,0.09805
vp02,NegMinNeut,F5,0.57157,0.4857,0.65067,0.26904
vp02,NegMinNeut,F7,0.14483,0.22164,1.228,0.50345
vp02,NegMinNeut,FT7,0.37256,0.26735,0.79081,0.17773
vp02,NegMinNeut,FC5,0.34179,-0.045323,0.52384,0.077491
vp02,NegMinNeut,FC3,0.054221,-0.034072,0.38308,0.094074
vp02,NegMinNeut,FC1,-0.1716,0.00033442,0.2329,0.22557
vp02,NegMinNeut,C1,-0.10784,-0.081825,0.20552,0.39436
vp02,NegMinNeut,C3,-0.020554,-0.043942,0.32965,0.19937
vp02,NegMinNeut,C5,0.13727,-0.0052981,0.4467,0.12261
vp02,NegMinNeut,T7,0.20839,0.1651,0.74864,0.19792
vp02,NegMinNeut,TP7,0.41175,0.3997,0.49391,0.14014
vp02,NegMinNeut,CP5,0.0369,-0.0069546,0.43766,0.30209
vp02,NegMinNeut,CP3,-0.14754,-0.10917,-0.0060962,0.086207
vp02,NegMinNeut,CP1,-0.067905,-0.012914,0.086453,0.47331
vp02,NegMinNeut,P1,-0.20693,-0.15899,-0.22525,0.10544
vp02,NegMinNeut,P3,-0.081717,-0.053977,-0.021292,0.24704
vp02,NegMinNeut,P5,0.033906,0.0037522,-0.20975,-0.11397
vp02,NegMinNeut,P7,0.096578,0.19889,0.078165,-0.12397
vp02,NegMinNeut,P9,0.35147,0.61609,0.066738,-0.081849
vp02,NegMinNeut,PO7,0.21343,0.41201,-0.061221,0.080828
vp02,NegMinNeut,PO3,-0.041497,0.1069,-0.22824,0.17953
vp02,NegMinNeut,O1,0.13003,0.27525,-0.25637,-0.044356
vp02,NegMinNeut,Iz,0.16555,0.53841,-0.070897,0.031989
vp02,NegMinNeut,Oz,0.017995,0.17594,-0.51932,-0.1885
vp02,NegMinNeut,POz,-0.25196,-0.047089,-0.46236,0.015454
vp02,NegMinNeut,Pz,0.017578,0.21191,-0.44379,0.17817
vp02,NegMinNeut,CPz,-0.61574,-0.51794,-0.3368,0.11073
vp02,NegMinNeut,Fpz,0.66533,0.86093,1.1889,1.1213
vp02,NegMinNeut,Fp2,0.027661,-0.076384,-0.27207,-0.32092
vp02,NegMinNeut,AF8,-0.11429,-0.022395,0.14839,-0.24753
vp02,NegMinNeut,AF4,-0.16806,-0.39729,-0.0082906,0.31866
vp02,NegMinNeut,Afz,-0.65367,-0.34145,-0.47922,-0.63756
vp02,NegMinNeut,Fz,-0.085947,-0.26294,0.045793,-0.038989
vp02,NegMinNeut,F2,-0.13089,-0.33893,-0.18831,-0.22479
vp02,NegMinNeut,F4,-0.095774,-0.3258,-0.17967,-0.20933
vp02,NegMinNeut,F6,0.35549,0.16365,0.043412,-0.26381
vp02,NegMinNeut,F8,0.43808,0.14481,-0.095039,-0.41593
vp02,NegMinNeut,FT8,0.28697,0.12286,-0.084182,-0.27939
vp02,NegMinNeut,FC6,0.13303,-0.15245,-0.22818,-0.36825
vp02,NegMinNeut,FC4,0.014174,-0.070704,0.046035,0.096446
vp02,NegMinNeut,FC2,-0.36302,-0.39502,0.028947,0.11842
vp02,NegMinNeut,FCz,-0.23749,-0.4014,-0.034756,0.039052
vp02,NegMinNeut,Cz,-0.62394,-0.45908,-0.20074,0.070775
vp02,NegMinNeut,C2,-0.33512,-0.43776,-0.16708,0.12843
vp02,NegMinNeut,C4,-0.10155,-0.21524,0.023023,0.048693
vp02,NegMinNeut,C6,0.028966,-0.11049,-0.33107,-0.38248
vp02,NegMinNeut,T8,-0.001108,-0.12476,-0.37728,-0.58223
vp02,NegMinNeut,TP8,0.16964,0.25286,-0.17101,-0.41231
vp02,NegMinNeut,CP6,-0.13443,-0.1449,-0.1037,-0.049871
vp02,NegMinNeut,CP4,-0.45333,-0.44588,-0.37529,-0.076161
vp02,NegMinNeut,CP2,-0.52837,-0.45062,-0.36282,-0.1725
vp02,NegMinNeut,P2,-0.23614,-0.11097,-0.49093,0.0082098
vp02,NegMinNeut,P4,-0.078495,0.024011,-0.40519,-0.093525
vp02,NegMinNeut,P6,0.094119,0.32884,-0.17278,-0.16205
vp02,NegMinNeut,P8,0.14286,0.33525,-0.19894,-0.19609
vp02,NegMinNeut,P10,0.10824,0.37158,-0.18163,-0.19833
vp02,NegMinNeut,PO8,-0.046493,0.20104,-0.40748,-0.11427
vp02,NegMinNeut,PO4,-0.19271,0.056908,-0.46542,0.0090836
vp02,NegMinNeut,O2,-0.30095,0.14296,-0.37743,0.14948
vp03,localizer,Fp1,-1.7588,2.9619,-0.99859,-3.1126
vp03,localizer,AF7,-0.97709,2.9043,-2.9506,-4.8149
vp03,localizer,AF3,-1.6782,2.6478,-0.19847,-1.7294
vp03,localizer,F1,-1.6659,1.8889,1.7345,0.68206
vp03,localizer,F3,-1.0822,2.3246,0.2546,-0.2694
vp03,localizer,F5,-0.70289,1.996,-1.8223,-2.0534
vp03,localizer,F7,-0.47868,1.5861,-3.4331,-3.6965
vp03,localizer,FT7,0.15844,0.35857,-3.306,-2.3205
vp03,localizer,FC5,-0.087658,1.3255,-1.2755,-0.43782
vp03,localizer,FC3,-0.75329,2.008,1.6694,2.0994
vp03,localizer,FC1,-1.5283,1.6758,3.3346,3.2337
vp03,localizer,C1,-1.1276,1.5092,3.8082,4.1736
vp03,localizer,C3,-0.38626,0.93219,2.0088,2.8348
vp03,localizer,C5,0.30746,-0.25688,-0.5232,0.68539
vp03,localizer,T7,0.6437,-1.5297,-3.7126,-2.393
vp03,localizer,TP7,1.7096,-4.0731,-3.5298,-2.2868
vp03,localizer,CP5,1.331,-1.379,0.1761,0.82125
vp03,localizer,CP3,0.60805,0.46291,2.4064,2.5808
vp03,localizer,CP1,-0.037083,1.3578,3.9705,3.7083
vp03,localizer,P1,0.63732,0.63202,2.6149,1.9189
vp03,localizer,P3,1.7749,-0.1032,1.3293,0.78928
vp03,localizer,P5,3.1798,-2.187,-0.38391,-0.66434
vp03,localizer,P7,3.5262,-5.8412,-3.7735,-3.3977
vp03,localizer,P9,1.8577,-5.9552,-6.5006,-5.634
vp03,localizer,PO7,2.9852,-4.4909,-4.8121,-4.5954
vp03,localizer,PO3,2.3138,-0.75408,-0.94246,-1.6757
vp03,localizer,O1,1.8844,-3.4521,-4.9865,-4.7051
vp03,localizer,Iz,1.5856,-4.2222,-6.7695,-5.9643
vp03,localizer,Oz,1.484,-3.3093,-4.5753,-4.0983
vp03,localizer,POz,1.2258,-0.65706,0.042631,-0.58727
vp03,localizer,Pz,0.017637,0.46977,3.2092,2.6718
vp03,localizer,CPz,-0.95087,1.0549,4.1417,4.3058
vp03,localizer,Fpz,-2.5074,2.1505,-1.283,-3.0537
vp03,localizer,Fp2,-2.5476,1.9624,-1.0388,-2.6825
vp03,localizer,AF8,-2.0916,1.8068,0.014047,0.043093
vp03,localizer,AF4,-2.339,1.8606,0.60317,-0.79183
vp03,localizer,Afz,-2.3109,2.0734,0.43931,-1.368
vp03,localizer,Fz,-2.1566,1.2433,1.8838,0.46263
vp03,localizer,F2,-2.2986,1.0098,1.709,0.18973
vp03,localizer,F4,-1.922,1.6698,1.3449,0.058452
vp03,localizer,F6,-1.4312,2.2706,0.39704,-0.038059
vp03,localizer,F8,-1.7188,1.3038,-1.3217,-0.21487
vp03,localizer,FT8,-0.72432,1.1999,-1.5766,-0.50456
vp03,localizer,FC6,-1.1143,1.4592,0.12608,0.42001
vp03,localizer,FC4,-1.6346,0.76223,1.5875,1.0294
vp03,localizer,FC2,-2.0476,0.18214,2.8583,2.2096
vp03,localizer,FCz,-2.1382,0.72724,3.5964,3.1523
vp03,localizer,Cz,-1.7924,1.1734,3.992,4.4669
vp03,localizer,C2,-1.6182,0.44312,3.3199,3.7161
vp03,localizer,C4,-1.0305,0.16263,1.7504,2.4393
vp03,localizer,C6,-0.3817,0.72621,0.080642,1.0612
vp03,localizer,T8,-0.13117,0.75664,-1.1783,-0.034116
vp03,localizer,TP8,0.86341,-0.26436,-0.7717,0.23918
vp03,localizer,CP6,0.49132,-0.2935,0.63857,1.6786
vp03,localizer,CP4,-0.13313,-0.32281,2.4755,3.3276
vp03,localizer,CP2,-0.64522,0.36108,3.5806,4.0814
vp03,localizer,P2,0.69788,-0.037879,3.2026,3.1585
vp03,localizer,P4,1.1773,-0.62758,2.5676,2.9419
vp03,localizer,P6,1.8484,-1.2605,1.0363,1.7327
vp03,localizer,P8,2.2577,-1.5876,-0.50245,0.33904
vp03,localizer,P10,1.9637,-1.9243,-2.2779,-1.7596
vp03,localizer,PO8,4.8731,-3.7386,-1.2818,-0.70189
vp03,localizer,PO4,2.7548,-1.4362,1.0923,1.0362
vp03,localizer,O2,3.7716,-3.6968,-3.2701,-2.7036
vp03,NegMinNeut,Fp1,-0.50759,-0.22856,0.68319,-0.22956
vp03,NegMinNeut,AF7,-0.42109,-0.20808,0.81258,-0.14989
vp03,NegMinNeut,AF3,-0.4948,-0.30103,0.81205,0.010436
vp03,NegMinNeut,F1,-0.28859,-0.16877,0.82526,0.28727
vp03,NegMinNeut,F3,-0.28182,-0.26688,0.64317,0.1064
vp03,NegMinNeut,F5,-0.21261,-0.25859,0.51854,0.1068
vp03,NegMinNeut,F7,-0.082431,-0.64453,0.25976,0.18334
vp03,NegMinNeut,FT7,0.14802,0.11961,0.27808,0.44893
vp03,NegMinNeut,FC5,0.032532,-0.091595,0.27537,0.20079
vp03,NegMinNeut,FC3,0.073523,0.17367,0.54525,0.3588
vp03,NegMinNeut,FC1,-0.048803,0.25272,0.72184,0.37213
vp03,NegMinNeut,C1,0.20269,0.46959,0.43011,0.35926
vp03,NegMinNeut,C3,0.47531,0.49441,0.35561,0.40633
vp03,NegMinNeut,C5,0.51614,0.40836,0.28727,0.52974
vp03,NegMinNeut,T7,0.31888,-0.048744,-0.29306,0.10504
vp03,NegMinNeut,TP7,0.62898,0.24194,-0.37283,0.26691
vp03,NegMinNeut,CP5,0.58501,0.40702,-0.12234,0.38326
vp03,NegMinNeut,CP3,0.55648,0.37939,-0.048626,0.28752
vp03,NegMinNeut,CP1,0.38311,0.32858,-0.12882,0.20563
vp03,NegMinNeut,P1,0.53061,0.3401,-0.22091,0.14676
vp03,NegMinNeut,P3,0.45537,0.10599,-0.46466,0.088747
vp03,NegMinNeut,P5,0.83281,0.34557,-0.51844,0.10353
vp03,NegMinNeut,P7,0.83524,0.29093,-0.775,-0.1756
vp03,NegMinNeut,P9,0.49907,0.030757,-1.1393,-0.53611
vp03,NegMinNeut,PO7,0.44561,-0.26556,-1.3055,-0.58884
vp03,NegMinNeut,PO3,0.29767,0.014205,-0.89491,-0.18497
vp03,NegMinNeut,O1,0.128,-0.23101,-1.2608,-0.42953
vp03,NegMinNeut,Iz,-0.46263,-0.68479,-1.7641,-0.98032
vp03,NegMinNeut,Oz,-0.17298,-0.40299,-1.2399,-0.50605
vp03,NegMinNeut,POz,0.0018024,-0.21992,-1.0629,-0.29807
vp03,NegMinNeut,Pz,0.37592,0.2364,-0.28035,-0.0071509
vp03,NegMinNeut,CPz,0.002419,0.10504,-0.15294,-0.10362
vp03,NegMinNeut,Fpz,-0.55825,-0.19252,0.32034,-0.49898
vp03,NegMinNeut,Fp2,-0.29598,0.12208,0.42881,-0.21252
vp03,NegMinNeut,AF8,-0.28149,0.0041133,0.41773,-0.095062
vp03,NegMinNeut,AF4,-0.40968,-0.16877,0.84211,0.1765
vp03,NegMinNeut,Afz,-0.7234,-0.54632,0.58434,-0.063367
vp03,NegMinNeut,Fz,-0.37816,-0.15869,1.0391,0.44547
vp03,NegMinNeut,F2,-0.57058,-0.32324,0.98889,0.4398
vp03,NegMinNeut,F4,-0.52634,-0.27177,0.77092,0.20541
